text,label
"Subject: Weekend Plans
Hi Emily,
What are your plans for the weekend? I was thinking of catching up over coffee. Let me know if you're available!
Best,
Alex",0
"Subject: Invitation to a Party
Hey Sarah,
You're invited to my birthday party this Saturday at [Venue]. It's going to be a great time with friends, food, and music. Hope to see you there!
Cheers,
Chris",0
"Subject: Weekly Newsletter
Dear Jonathan,
Thank you for subscribing to our weekly newsletter. In this edition, we cover the latest trends in technology, upcoming events, and more. Stay tuned for valuable insights!
Regards,
TechWorld",0
"Subject: Your Order Confirmation
Hi Olivia,
Thank you for shopping with us! Your order #12345 has been confirmed and will be shipped soon. You can track your order using the link below.
Happy shopping!
TrendyGoods",0
"Subject: Monthly Statement Available
Dear Michael,
Your monthly bank statement for March is now available. You can view and download it by logging into your online banking account.
Regards,
SecureBank",0
"Subject: Don't Forget: Webinar Tomorrow
Hi Vanessa,
Just a reminder that the webinar on Machine Learning is scheduled for tomorrow at 2 PM. Make sure to join us for an informative session!
Best,
TechSeminar Team",0
"Subject: Your Travel Details
Hi Jason,
Here are the details for your upcoming trip:
Flight: AC1234
Hotel: Hilton Downtown
Excursions: City Tour, Museum Visit
Have a great journey!
GlobeTrotter Agency",0
"Subject: Upcoming Workshop on Python Programming
Hello Alice,
We are excited to announce an upcoming workshop on Python Programming. Join us for an interactive session with industry experts and enhance your knowledge in this field.
Regards,
CodingInstitute",0
"Subject: Monthly Health Tips
Dear Elena,
In this month's newsletter, we share valuable health tips, delicious recipes, and fitness routines to help you maintain a healthy lifestyle. Stay well!
Best,
HealthVibes",0
"Subject: Invitation to Charity Gala
Hi Mark,
You're invited to our annual Charity Gala to support Education for All. Join us for an evening of fundraising, entertainment, and making a positive impact in our community.
Warm regards,
HopeFoundation",0
"Subject: Important Tax Filing Information
Dear Olivia,
This is a reminder to file your taxes before the upcoming deadline. Visit our website for resources and assistance with the filing process.
Sincerely,
TaxHelp Department",0
"Subject: Next Book Club Meeting
Hello Rachel,
Our next book club meeting is scheduled for April 5th. We'll be discussing ""The Silent Waters."" Looking forward to another engaging discussion!
Cheers,
BookWorms Club",0
"Subject: Software Update Available
Hi Alex,
A new software update is now available for TechPro. This update includes bug fixes and exciting new features. Click the link to update your software.
Regards,
TechInnovate",0
"Subject: Annual Community Fair
Dear Christopher,
Join us for our annual community fair on May 1st. There will be food, games, and activities for all ages. Bring your friends and family for a day of fun!
Best,
CommunityUnity Organization",0
"Subject: Share Your Feedback!
Hi Nicole,
We hope you're enjoying your recent purchase. Share your thoughts by leaving a review on our website. Your feedback helps us improve and assist other customers in making informed decisions.
Thank you,
TrendyGoods",0
"Subject: Subscription Renewal Notice
Dear William,
Your subscription to TechMonthly is expiring soon. Renew now to continue enjoying uninterrupted access to premium content and features.
Regards,
TechMonthly",0
"Subject: Unusual Login Activity Detected
Hi John,
We've detected unusual login activity on your account. If this wasn't you, please secure your account by changing your password immediately.
Best,
SecurityAlert Team",0
"Subject: Season's Greetings!
Dear Emily,
Wishing you and your loved ones a joyful holiday season filled with warmth and happiness. May the coming year bring you success and prosperity.
Cheers,
Johnson Family",0
"Subject: Your Opinion Matters
Hi Rachel,
We value your opinion! Take a few minutes to complete our survey and share your thoughts. Your feedback helps us enhance our products/services.
Thank you,
OpinionInsight",0
"Subject: Your Ticket Confirmation for MusicFest
Hi Ryan,
Thank you for purchasing tickets to MusicFest. Your confirmation details and ticket QR code are attached. We look forward to seeing you there!
Regards,
MusicFest Organizer",0
"Subject: Annual Home Inspection Reminder
Dear Amanda,
It's time for your annual home inspection. Schedule an appointment to ensure your home is in top condition and address any maintenance needs.
Best,
HomeCare Services",0
"Subject: Latest Blog Post - ""The Future of AI""
Hello Daniel,
We've just published a new blog post on ""The Future of AI."" Check it out for insightful content and stay updated on the latest trends in Artificial Intelligence.
Happy reading!
AIInsights Blog",0
"Subject: Join Us for a Pet Adoption Event
Hi Lily,
We're hosting a pet adoption event this weekend. Come meet adorable pets looking for loving homes. Bring joy to your life by adopting a furry friend!
Regards,
HappyTails Shelter",0
